size; binary;
100000; 25.727000; 
200000; 42.623000; 
300000; 66.399400; 
400000; 90.089200; 
500000; 114.891600; 
600000; 140.020000; 
700000; 165.325400; 
800000; 192.439000; 
900000; 219.055000; 
1000000; 245.462600; 
1100000; 272.962200; 
1200000; 295.727800; 
1300000; 319.552200; 
1400000; 350.002000; 
1500000; 374.714400; 
1600000; 398.776800; 
1700000; 431.604800; 
1800000; 454.290400; 
1900000; 485.300600; 
2000000; 518.153600; 
2100000; 542.495200; 
2200000; 562.718400; 
2300000; 593.935000; 
2400000; 620.910400; 
2500000; 646.610800; 
2600000; 684.831400; 
2700000; 706.761400; 
2800000; 736.924800; 
2900000; 756.023400; 
3000000; 788.102400; 
3100000; 811.530200; 
3200000; 841.209000; 
3300000; 872.073600; 
3400000; 898.897400; 
3500000; 924.519800; 
3600000; 961.032600; 
3700000; 976.110000; 
3800000; 1017.775400; 
3900000; 1043.171600; 
4000000; 1075.258000; 
4100000; 1102.164200; 
4200000; 1138.761800; 
4300000; 1156.338200; 
4400000; 1200.071600; 
4500000; 1224.438800; 
4600000; 1254.411000; 
4700000; 1285.269600; 
4800000; 1318.200800; 
4900000; 1353.177400; 
5000000; 1374.496400; 
5100000; 1417.443800; 
5200000; 1445.576400; 
5300000; 1463.606800; 
5400000; 1492.882200; 
5500000; 1540.516000; 
5600000; 1575.082600; 
5700000; 1591.048600; 
5800000; 1619.389800; 
5900000; 1663.472000; 
6000000; 1685.839400; 
6100000; 1719.305400; 
6200000; 1758.477800; 
6300000; 1772.950800; 
6400000; 1804.252600; 
6500000; 1837.014000; 
6600000; 1866.315200; 
6700000; 1914.591200; 
6800000; 1927.488400; 
6900000; 1967.872400; 
7000000; 2009.733400; 
7100000; 2039.755800; 
7200000; 2064.328200; 
7300000; 2090.931800; 
7400000; 2115.156200; 
7500000; 2159.340200; 
7600000; 2185.454800; 
7700000; 2227.226200; 
7800000; 2251.502600; 
7900000; 2292.762200; 
8000000; 2331.930600; 
8100000; 2357.624000; 
8200000; 2380.540800; 
8300000; 2413.972000; 
8400000; 2455.406000; 
8500000; 2596.988000; 
8600000; 2610.017400; 
8700000; 2610.055200; 
8800000; 2582.842200; 
8900000; 2625.067000; 
9000000; 2644.472600; 
9100000; 2697.320600; 
9200000; 2708.941600; 
9300000; 2755.303800; 
9400000; 2773.185400; 
9500000; 2820.510800; 
9600000; 2834.785400; 
9700000; 2878.906200; 
9800000; 2911.294000; 
9900000; 2944.254600; 
10000000; 3113.829400; 
