size; 5_heap; 10_heap; 25_heap; 50_heap; 100_heap; 200_heap; 300_heap; 400_heap; 500_heap; 1000_heap; 
100000; 17.036200; 12.842800; 15.636200; 20.638200; 32.275000; 53.506800; 64.020800; 86.346600; 103.767400; 194.757400; 
200000; 29.214000; 26.692000; 32.982600; 42.707600; 68.092400; 107.841400; 133.389800; 167.949800; 202.730400; 399.992000; 
300000; 45.162400; 42.698800; 50.722200; 68.169800; 103.948400; 171.877400; 219.543200; 253.715800; 307.655600; 598.672200; 
400000; 61.506600; 58.260600; 68.093800; 94.727800; 140.214200; 235.022600; 305.057800; 364.561800; 406.821800; 800.719000; 
500000; 77.601600; 73.457800; 85.254400; 121.560600; 176.165600; 299.349200; 392.881400; 471.118000; 525.553000; 995.083800; 
600000; 93.989200; 88.742600; 103.122600; 147.570800; 211.147000; 360.301400; 482.207600; 581.857200; 633.510600; 1194.962600; 
700000; 110.174600; 104.020400; 120.278200; 173.138200; 245.744400; 421.792200; 574.066000; 692.513000; 768.786600; 1404.589200; 
800000; 126.695600; 119.078200; 138.873600; 200.091600; 280.178400; 484.310600; 658.922600; 802.770600; 895.092600; 1590.583000; 
900000; 144.057200; 134.693800; 159.722600; 226.924600; 315.714200; 545.248800; 749.454800; 921.107800; 1027.214000; 1799.165000; 
1000000; 160.780200; 149.643800; 179.843200; 253.762600; 352.088200; 608.620400; 839.545800; 1037.760400; 1153.929000; 1996.340400; 
1100000; 178.816800; 165.149000; 201.050000; 281.770600; 387.235600; 670.890000; 925.647000; 1154.526200; 1294.524000; 2192.443600; 
1200000; 193.942800; 181.661000; 221.535400; 309.347800; 424.055600; 731.256200; 1015.226800; 1277.413400; 1427.389600; 2401.076200; 
1300000; 210.685200; 196.772200; 241.226800; 335.053600; 458.958800; 795.269600; 1104.751000; 1390.789800; 1571.988200; 2593.922600; 
1400000; 228.475000; 212.932800; 261.965200; 363.055400; 494.884200; 856.432800; 1195.278200; 1507.813200; 1705.066200; 2789.758400; 
1500000; 244.746600; 228.948200; 281.890600; 391.451200; 530.011800; 920.541800; 1274.026400; 1618.602200; 1847.433000; 2992.326400; 
1600000; 265.401600; 244.776800; 302.729200; 417.968600; 566.774800; 981.467000; 1359.866800; 1737.705600; 1982.702600; 3198.827400; 
1700000; 281.609200; 262.211600; 322.079400; 444.968400; 601.587600; 1046.105000; 1453.490400; 1850.446200; 2126.001600; 3390.296000; 
1800000; 300.163800; 277.783000; 341.125600; 472.215400; 637.071800; 1103.364000; 1538.716200; 1962.566000; 2263.077400; 3590.224400; 
1900000; 316.153200; 295.470400; 362.514200; 500.893200; 675.300800; 1168.163600; 1627.976200; 2083.608600; 2407.226000; 3787.133600; 
2000000; 333.689800; 311.724200; 381.526200; 528.700200; 718.317600; 1233.479400; 1718.572200; 2194.772200; 2548.316200; 4012.315000; 
2100000; 352.903400; 327.329400; 400.997400; 555.862400; 759.591000; 1293.051400; 1804.820600; 2308.413200; 2688.557400; 4268.252000; 
2200000; 367.080600; 345.207600; 421.993800; 583.781600; 795.515400; 1355.397200; 1892.906600; 2423.380400; 2825.848400; 4542.108000; 
2300000; 387.181000; 364.339600; 441.666400; 610.729200; 837.574200; 1413.806600; 1977.621200; 2580.963400; 2959.208200; 4838.078800; 
2400000; 407.235000; 383.600200; 462.993600; 639.657600; 892.438000; 1484.378200; 2074.514200; 2656.706000; 3099.142400; 5111.981800; 
2500000; 423.707200; 402.227400; 484.057400; 666.489600; 934.851600; 1544.554600; 2162.272000; 2767.314400; 3237.554800; 5348.766600; 
2600000; 441.388800; 420.043200; 503.104400; 694.441600; 973.689200; 1605.090800; 2247.904400; 2887.596600; 3362.889400; 5599.726600; 
2700000; 458.924800; 439.872800; 523.296800; 722.268400; 1016.793400; 1666.463800; 2333.148800; 2997.623400; 3508.013400; 5856.732000; 
2800000; 478.409000; 456.627400; 544.308600; 746.856600; 1068.553000; 1732.441000; 2423.482600; 3113.837400; 3644.503600; 6122.579400; 
